symbol,timestamp,expiration,expiration_date,strike,contractType,bid,ask,last,open_interest,volume,delta,gamma,theta,vega,rho,implied_volatility
AMD,2025-08-11 07:58:14.276153,20250815,2025-08-15,165.0,PUT,1.26,1.29,1.26,12569,0,-0.211,0.028,-0.318,0.057,-0.005,52.53
AMD,2025-08-11 07:58:14.276153,20250815,2025-08-15,167.5,PUT,1.88,1.92,1.88,4442,0,-0.288,0.033,-0.377,0.067,-0.007,51.827
AMD,2025-08-11 07:58:14.276153,20250815,2025-08-15,170.0,PUT,2.72,2.77,2.71,7177,0,-0.378,0.038,-0.42,0.075,-0.009,51.282
AMD,2025-08-11 07:58:14.276153,20250815,2025-08-15,172.5,PUT,3.8,3.85,3.8,3056,0,-0.476,0.04,-0.436,0.079,-0.011,50.724
AMD,2025-08-11 07:58:14.276153,20250815,2025-08-15,175.0,PUT,5.15,5.25,5.15,8894,0,-0.572,0.038,-0.438,0.077,-0.013,52.005
AMD,2025-08-11 07:58:14.276153,20250815,2025-08-15,177.5,PUT,6.75,6.9,6.85,1190,0,-0.662,0.035,-0.407,0.072,-0.014,52.489
AMD,2025-08-11 07:58:14.276153,20250815,2025-08-15,180.0,PUT,8.6,8.8,8.69,2048,0,-0.741,0.031,-0.354,0.064,-0.016,52.781
AMD,2025-08-11 07:58:14.276153,20250815,2025-08-15,182.5,PUT,10.65,10.85,11.1,513,0,-0.804,0.026,-0.3,0.054,-0.016,53.841
AMD,2025-08-11 07:58:14.276153,20250815,2025-08-15,185.0,PUT,12.85,13.0,13.2,553,0,-0.853,0.021,-0.247,0.045,-0.016,54.997
AMD,2025-08-11 07:58:14.276153,20250815,2025-08-15,187.5,PUT,15.05,15.35,15.65,80,0,-0.889,0.016,-0.203,0.037,-0.015,56.458
AMD,2025-08-11 07:58:14.276153,20250815,2025-08-15,190.0,PUT,17.4,17.7,18.0,770,0,-0.914,0.011,-0.167,0.03,-0.013,57.788
AMD,2025-08-11 07:58:14.276153,20250815,2025-08-15,192.5,PUT,19.8,20.1,20.0,85,0,-0.93,0.007,-0.146,0.025,-0.011,59.627
AMD,2025-08-11 07:58:14.276153,20250815,2025-08-15,195.0,PUT,22.3,22.45,22.76,125,0,-0.939,0.004,-0.095,0.022,-0.009,61.238
AMD,2025-08-11 07:58:14.276153,20250815,2025-08-15,197.5,PUT,24.75,24.95,25.55,57,0,-0.942,0.001,-0.002,0.02,-0.007,63.012
AMD,2025-08-11 07:58:14.276153,20250822,2025-08-22,150.0,CALL,23.35,23.6,22.85,484,0,0.941,0.007,-0.086,0.037,0.045,52.261
AMD,2025-08-11 07:58:14.276153,20250822,2025-08-22,152.5,CALL,20.95,21.4,20.15,259,0,0.922,0.009,-0.103,0.045,0.045,50.826
AMD,2025-08-11 07:58:14.276153,20250822,2025-08-22,155.0,CALL,18.7,19.1,18.5,1078,0,0.899,0.012,-0.121,0.055,0.044,49.392
AMD,2025-08-11 07:58:14.276153,20250822,2025-08-22,157.5,CALL,16.5,16.8,16.65,588,0,0.868,0.014,-0.143,0.066,0.043,48.385
AMD,2025-08-11 07:58:14.276153,20250822,2025-08-22,160.0,CALL,14.35,14.55,14.45,1652,0,0.83,0.017,-0.165,0.079,0.042,47.294
AMD,2025-08-11 07:58:14.276153,20250822,2025-08-22,162.5,CALL,12.35,12.5,12.15,985,0,0.783,0.02,-0.188,0.091,0.04,46.551
AMD,2025-08-11 07:58:14.276153,20250822,2025-08-22,165.0,CALL,10.5,10.6,10.5,1640,0,0.728,0.023,-0.209,0.103,0.037,45.853
AMD,2025-08-11 07:58:14.276153,20250822,2025-08-22,167.5,CALL,8.75,8.9,8.77,756,0,0.666,0.026,-0.227,0.113,0.034,45.297
AMD,2025-08-11 07:58:14.276153,20250822,2025-08-22,170.0,CALL,7.25,7.35,7.3,3570,0,0.598,0.028,-0.238,0.12,0.031,44.886
AMD,2025-08-11 07:58:14.276153,20250822,2025-08-22,172.5,CALL,5.85,6.0,5.94,2250,0,0.526,0.029,-0.244,0.123,0.027,44.679
AMD,2025-08-11 07:58:14.276153,20250822,2025-08-22,175.0,CALL,4.75,4.8,4.76,4284,0,0.458,0.028,-0.252,0.123,0.024,46.5
AMD,2025-08-11 07:58:14.276153,20250822,2025-08-22,177.5,CALL,3.75,3.85,3.81,1820,0,0.391,0.027,-0.243,0.119,0.021,46.536
AMD,2025-08-11 07:58:14.276153,20250822,2025-08-22,180.0,CALL,2.99,3.05,3.05,5563,0,0.33,0.025,-0.23,0.112,0.017,46.912
AMD,2025-08-11 07:58:14.276153,20250822,2025-08-22,182.5,CALL,2.34,2.38,2.34,881,0,0.274,0.023,-0.212,0.103,0.014,47.116
AMD,2025-08-11 07:58:14.276153,20250822,2025-08-22,185.0,CALL,1.83,1.88,1.85,2504,0,0.226,0.02,-0.192,0.093,0.012,47.661
AMD,2025-08-11 07:58:14.276153,20250822,2025-08-22,187.5,CALL,1.44,1.47,1.46,1484,0,0.185,0.018,-0.172,0.083,0.01,48.27
AMD,2025-08-11 07:58:14.276153,20250822,2025-08-22,190.0,CALL,1.13,1.16,1.14,2240,0,0.151,0.015,-0.152,0.073,0.008,48.996
AMD,2025-08-11 07:58:14.276153,20250822,2025-08-22,192.5,CALL,0.89,0.92,0.91,686,0,0.123,0.013,-0.133,0.063,0.007,49.81
AMD,2025-08-11 07:58:14.276153,20250822,2025-08-22,195.0,CALL,0.71,0.74,0.73,1212,0,0.101,0.011,-0.117,0.055,0.005,50.803
AMD,2025-08-11 07:58:14.276153,20250822,2025-08-22,197.5,CALL,0.56,0.59,0.56,250,0,0.082,0.009,-0.101,0.047,0.004,51.636
AMD,2025-08-11 07:58:14.276153,20250822,2025-08-22,150.0,PUT,0.42,0.44,0.45,2373,0,-0.06,0.007,-0.079,0.037,-0.003,52.261
AMD,2025-08-11 07:58:14.276153,20250822,2025-08-22,152.5,PUT,0.57,0.58,0.58,902,0,-0.078,0.009,-0.095,0.045,-0.005,50.826
AMD,2025-08-11 07:58:14.276153,20250822,2025-08-22,155.0,PUT,0.75,0.78,0.77,21089,0,-0.101,0.012,-0.113,0.055,-0.006,49.392
AMD,2025-08-11 07:58:14.276153,20250822,2025-08-22,157.5,PUT,1.02,1.06,1.03,1129,0,-0.133,0.014,-0.135,0.067,-0.008,48.385
AMD,2025-08-11 07:58:14.276153,20250822,2025-08-22,160.0,PUT,1.36,1.42,1.4,2531,0,-0.17,0.017,-0.157,0.079,-0.01,47.294
AMD,2025-08-11 07:58:14.276153,20250822,2025-08-22,162.5,PUT,1.85,1.89,1.85,2158,0,-0.218,0.02,-0.181,0.091,-0.013,46.551
AMD,2025-08-11 07:58:14.276153,20250822,2025-08-22,165.0,PUT,2.46,2.5,2.49,2199,0,-0.272,0.023,-0.202,0.103,-0.016,45.853
AMD,2025-08-11 07:58:14.276153,20250822,2025-08-22,167.5,PUT,3.2,3.3,3.3,2584,0,-0.335,0.026,-0.219,0.113,-0.019,45.297
AMD,2025-08-11 07:58:14.276153,20250822,2025-08-22,170.0,PUT,4.15,4.25,4.24,2913,0,-0.403,0.028,-0.231,0.12,-0.023,44.886
AMD,2025-08-11 07:58:14.276153,20250822,2025-08-22,172.5,PUT,5.3,5.4,5.37,923,0,-0.474,0.029,-0.236,0.123,-0.027,44.679
AMD,2025-08-11 07:58:14.276153,20250822,2025-08-22,175.0,PUT,6.65,6.75,6.65,955,0,-0.543,0.028,-0.245,0.123,-0.031,46.5
AMD,2025-08-11 07:58:14.276153,20250822,2025-08-22,177.5,PUT,8.15,8.3,9.1,485,0,-0.609,0.027,-0.236,0.119,-0.034,46.536
AMD,2025-08-11 07:58:14.276153,20250822,2025-08-22,180.0,PUT,9.85,10.0,10.36,727,0,-0.67,0.025,-0.223,0.112,-0.037,46.912
AMD,2025-08-11 07:58:14.276153,20250822,2025-08-22,182.5,PUT,11.75,11.85,12.67,91,0,-0.726,0.023,-0.204,0.103,-0.039,47.116
AMD,2025-08-11 07:58:14.276153,20250822,2025-08-22,185.0,PUT,13.75,13.9,14.76,163,0,-0.774,0.02,-0.185,0.093,-0.04,47.661
AMD,2025-08-11 07:58:14.276153,20250822,2025-08-22,187.5,PUT,15.65,16.2,14.65,46,0,-0.814,0.017,-0.165,0.083,-0.04,48.27
AMD,2025-08-11 07:58:14.276153,20250822,2025-08-22,190.0,PUT,17.9,18.25,18.6,84,0,-0.847,0.015,-0.146,0.073,-0.039,48.996
AMD,2025-08-11 07:58:14.276153,20250822,2025-08-22,192.5,PUT,20.3,20.55,20.75,10,0,-0.874,0.012,-0.129,0.063,-0.038,49.81
AMD,2025-08-11 07:58:14.276153,20250822,2025-08-22,195.0,PUT,22.4,23.05,21.15,34,0,-0.894,0.01,-0.114,0.056,-0.035,50.803
AMD,2025-08-11 07:58:14.276153,20250822,2025-08-22,197.5,PUT,24.75,25.3,26.7,57,0,-0.909,0.008,-0.101,0.049,-0.032,51.636
AMD,2025-08-11 07:58:14.276153,20250829,2025-08-29,150.0,CALL,24.0,24.35,23.15,1493,0,0.905,0.009,-0.092,0.066,0.068,49.95
AMD,2025-08-11 07:58:14.276153,20250829,2025-08-29,152.5,CALL,21.75,22.25,21.2,138,0,0.882,0.01,-0.106,0.077,0.067,48.965
AMD,2025-08-11 07:58:14.276153,20250829,2025-08-29,155.0,CALL,19.6,19.95,19.05,374,0,0.854,0.012,-0.12,0.09,0.066,48.17
AMD,2025-08-11 07:58:14.276153,20250829,2025-08-29,157.5,CALL,17.5,17.75,16.7,1796,0,0.822,0.014,-0.134,0.102,0.064,47.345
AMD,2025-08-11 07:58:14.276153,20250829,2025-08-29,160.0,CALL,15.5,15.85,15.48,1252,0,0.784,0.016,-0.148,0.115,0.062,46.699
AMD,2025-08-11 07:58:14.276153,20250829,2025-08-29,162.5,CALL,13.5,13.9,12.89,1273,0,0.74,0.018,-0.162,0.127,0.059,46.205
AMD,2025-08-11 07:58:14.276153,20250829,2025-08-29,165.0,CALL,11.9,12.05,12.0,1076,0,0.693,0.02,-0.173,0.138,0.056,45.605
AMD,2025-08-11 07:58:14.276153,20250829,2025-08-29,167.5,CALL,10.3,10.45,10.35,463,0,0.64,0.021,-0.183,0.147,0.052,45.392
AMD,2025-08-11 07:58:14.276153,20250829,2025-08-29,170.0,CALL,8.8,8.95,8.9,1931,0,0.585,0.022,-0.189,0.153,0.048,45.102
AMD,2025-08-11 07:58:14.276153,20250829,2025-08-29,172.5,CALL,7.5,7.6,7.55,1810,0,0.529,0.023,-0.192,0.156,0.043,44.879
AMD,2025-08-11 07:58:14.276153,20250829,2025-08-29,175.0,CALL,6.35,6.45,6.4,3206,0,0.476,0.022,-0.202,0.156,0.039,47.206
AMD,2025-08-11 07:58:14.276153,20250829,2025-08-29,177.5,CALL,5.3,5.4,5.3,1581,0,0.423,0.021,-0.197,0.153,0.035,46.999
AMD,2025-08-11 07:58:14.276153,20250829,2025-08-29,180.0,CALL,4.45,4.55,4.5,8525,0,0.373,0.02,-0.191,0.148,0.031,47.28
AMD,2025-08-11 07:58:14.276153,20250829,2025-08-29,182.5,CALL,3.7,3.8,3.73,662,0,0.326,0.019,-0.182,0.141,0.027,47.461
AMD,2025-08-11 07:58:14.276153,20250829,2025-08-29,185.0,CALL,3.05,3.15,3.1,1916,0,0.283,0.018,-0.171,0.132,0.023,47.597
AMD,2025-08-11 07:58:14.276153,20250829,2025-08-29,187.5,CALL,2.56,2.61,2.55,219,0,0.245,0.017,-0.16,0.123,0.02,48.048
AMD,2025-08-11 07:58:14.276153,20250829,2025-08-29,190.0,CALL,2.13,2.17,2.15,1707,0,0.211,0.015,-0.148,0.113,0.018,48.508
AMD,2025-08-11 07:58:14.276153,20250829,2025-08-29,192.5,CALL,1.76,1.81,1.75,544,0,0.18,0.014,-0.135,0.103,0.015,48.968
AMD,2025-08-11 07:58:14.276153,20250829,2025-08-29,195.0,CALL,1.47,1.51,1.42,685,0,0.155,0.012,-0.124,0.093,0.013,49.548
AMD,2025-08-11 07:58:14.276153,20250829,2025-08-29,197.5,CALL,1.22,1.27,1.16,1038,0,0.132,0.011,-0.112,0.084,0.011,50.147
AMD,2025-08-11 07:58:14.276153,20250829,2025-08-29,150.0,PUT,0.9,0.93,0.97,2312,0,-0.095,0.009,-0.087,0.066,-0.009,49.95
AMD,2025-08-11 07:58:14.276153,20250829,2025-08-29,152.5,PUT,1.15,1.18,1.16,515,0,-0.118,0.01,-0.1,0.078,-0.011,48.965
AMD,2025-08-11 07:58:14.276153,20250829,2025-08-29,155.0,PUT,1.47,1.51,1.51,2275,0,-0.146,0.012,-0.114,0.09,-0.014,48.17
AMD,2025-08-11 07:58:14.276153,20250829,2025-08-29,157.5,PUT,1.86,1.91,1.89,2031,0,-0.179,0.014,-0.129,0.102,-0.017,47.345
AMD,2025-08-11 07:58:14.276153,20250829,2025-08-29,160.0,PUT,2.35,2.42,2.39,3824,0,-0.217,0.016,-0.143,0.115,-0.02,46.699
AMD,2025-08-11 07:58:14.276153,20250829,2025-08-29,162.5,PUT,2.96,3.05,3.05,559,0,-0.26,0.018,-0.157,0.127,-0.024,46.205
AMD,2025-08-11 07:58:14.276153,20250829,2025-08-29,165.0,PUT,3.7,3.75,3.8,1564,0,-0.308,0.02,-0.168,0.138,-0.029,45.605
AMD,2025-08-11 07:58:14.276153,20250829,2025-08-29,167.5,PUT,4.55,4.7,5.15,1577,0,-0.361,0.021,-0.178,0.147,-0.034,45.392
AMD,2025-08-11 07:58:14.276153,20250829,2025-08-29,170.0,PUT,5.6,5.7,5.66,2212,0,-0.415,0.022,-0.184,0.153,-0.039,45.102
AMD,2025-08-11 07:58:14.276153,20250829,2025-08-29,172.5,PUT,6.75,6.9,6.91,951,0,-0.472,0.023,-0.187,0.156,-0.044,44.879
AMD,2025-08-11 07:58:14.276153,20250829,2025-08-29,175.0,PUT,8.1,8.25,8.53,1241,0,-0.525,0.022,-0.196,0.156,-0.048,47.206
AMD,2025-08-11 07:58:14.276153,20250829,2025-08-29,177.5,PUT,9.55,9.75,9.7,1483,0,-0.578,0.021,-0.191,0.153,-0.053,46.999
AMD,2025-08-11 07:58:14.276153,20250829,2025-08-29,180.0,PUT,11.2,11.4,11.29,1076,0,-0.627,0.02,-0.186,0.148,-0.056,47.28
AMD,2025-08-11 07:58:14.276153,20250829,2025-08-29,182.5,PUT,12.95,13.15,13.94,70,0,-0.674,0.019,-0.177,0.141,-0.06,47.461
AMD,2025-08-11 07:58:14.276153,20250829,2025-08-29,185.0,PUT,14.8,15.0,15.15,91,0,-0.718,0.018,-0.166,0.132,-0.062,47.597
AMD,2025-08-11 07:58:14.276153,20250829,2025-08-29,187.5,PUT,16.75,17.0,17.55,58,0,-0.755,0.016,-0.155,0.123,-0.064,48.048
AMD,2025-08-11 07:58:14.276153,20250829,2025-08-29,190.0,PUT,18.65,19.2,19.35,63,0,-0.789,0.015,-0.143,0.113,-0.064,48.508
AMD,2025-08-11 07:58:14.276153,20250829,2025-08-29,192.5,PUT,20.7,21.2,21.35,22,0,-0.818,0.013,-0.131,0.103,-0.064,48.968
AMD,2025-08-11 07:58:14.276153,20250829,2025-08-29,195.0,PUT,23.0,23.45,24.9,46,0,-0.842,0.012,-0.12,0.093,-0.063,49.548
AMD,2025-08-11 07:58:14.276153,20250829,2025-08-29,197.5,PUT,25.5,25.85,23.8,0,0,-0.863,0.01,-0.109,0.084,-0.061,50.147
AMD,2025-08-11 07:58:14.276153,20250905,2025-09-05,150.0,CALL,24.5,24.8,24.25,698,0,0.885,0.009,-0.084,0.089,0.091,46.922
AMD,2025-08-11 07:58:14.276153,20250905,2025-09-05,152.5,CALL,22.25,22.8,21.8,639,0,0.861,0.01,-0.094,0.102,0.089,46.079
AMD,2025-08-11 07:58:14.276153,20250905,2025-09-05,155.0,CALL,20.2,20.7,19.4,143,0,0.833,0.012,-0.104,0.115,0.088,45.358
AMD,2025-08-11 07:58:14.276153,20250905,2025-09-05,157.5,CALL,18.2,18.65,18.07,121,0,0.8,0.014,-0.115,0.129,0.085,44.848
AMD,2025-08-11 07:58:14.276153,20250905,2025-09-05,160.0,CALL,16.25,16.5,16.25,735,0,0.763,0.015,-0.126,0.142,0.082,44.349
AMD,2025-08-11 07:58:14.276153,20250905,2025-09-05,162.5,CALL,14.45,14.75,14.1,223,0,0.722,0.017,-0.135,0.154,0.078,43.997
AMD,2025-08-11 07:58:14.276153,20250905,2025-09-05,165.0,CALL,12.8,12.85,12.85,1079,0,0.678,0.018,-0.143,0.165,0.074,43.495
AMD,2025-08-11 07:58:14.276153,20250905,2025-09-05,167.5,CALL,11.2,11.35,11.2,498,0,0.63,0.019,-0.149,0.173,0.069,43.205
AMD,2025-08-11 07:58:14.276153,20250905,2025-09-05,170.0,CALL,9.75,9.9,9.75,1716,0,0.581,0.02,-0.154,0.179,0.064,43.07
AMD,2025-08-11 07:58:14.276153,20250905,2025-09-05,172.5,CALL,8.45,8.55,8.5,815,0,0.53,0.02,-0.155,0.183,0.059,42.792
AMD,2025-08-11 07:58:14.276153,20250905,2025-09-05,175.0,CALL,7.3,7.4,7.35,2597,0,0.484,0.019,-0.165,0.183,0.054,45.506
AMD,2025-08-11 07:58:14.276153,20250905,2025-09-05,177.5,CALL,6.25,6.35,6.32,1407,0,0.437,0.019,-0.162,0.181,0.049,45.403
AMD,2025-08-11 07:58:14.276153,20250905,2025-09-05,180.0,CALL,5.35,5.45,5.4,2748,0,0.392,0.018,-0.159,0.176,0.044,45.508
AMD,2025-08-11 07:58:14.276153,20250905,2025-09-05,182.5,CALL,4.55,4.65,4.55,823,0,0.349,0.018,-0.153,0.17,0.039,45.588
AMD,2025-08-11 07:58:14.276153,20250905,2025-09-05,185.0,CALL,3.85,3.95,3.9,1004,0,0.309,0.017,-0.145,0.162,0.035,45.682
AMD,2025-08-11 07:58:14.276153,20250905,2025-09-05,187.5,CALL,3.25,3.35,3.05,218,0,0.272,0.016,-0.137,0.152,0.031,45.84
AMD,2025-08-11 07:58:14.276153,20250905,2025-09-05,190.0,CALL,2.77,2.83,2.77,1047,0,0.239,0.015,-0.129,0.142,0.027,46.135
AMD,2025-08-11 07:58:14.276153,20250905,2025-09-05,192.5,CALL,2.35,2.4,2.27,197,0,0.209,0.013,-0.12,0.132,0.024,46.471
AMD,2025-08-11 07:58:14.276153,20250905,2025-09-05,195.0,CALL,1.99,2.04,2.0,545,0,0.182,0.012,-0.111,0.121,0.021,46.844
AMD,2025-08-11 07:58:14.276153,20250905,2025-09-05,197.5,CALL,1.69,1.74,1.72,248,0,0.159,0.011,-0.102,0.111,0.018,47.287
AMD,2025-08-11 07:58:14.276153,20250905,2025-09-05,150.0,PUT,1.26,1.29,1.27,1211,0,-0.115,0.009,-0.081,0.089,-0.015,46.922
AMD,2025-08-11 07:58:14.276153,20250905,2025-09-05,152.5,PUT,1.55,1.61,1.73,248,0,-0.139,0.01,-0.09,0.102,-0.018,46.079
AMD,2025-08-11 07:58:14.276153,20250905,2025-09-05,155.0,PUT,1.93,1.99,1.95,942,0,-0.167,0.012,-0.101,0.115,-0.022,45.358
AMD,2025-08-11 07:58:14.276153,20250905,2025-09-05,157.5,PUT,2.4,2.48,2.44,438,0,-0.2,0.014,-0.112,0.129,-0.026,44.848
AMD,2025-08-11 07:58:14.276153,20250905,2025-09-05,160.0,PUT,2.97,3.05,3.0,1708,0,-0.237,0.015,-0.122,0.142,-0.031,44.349
AMD,2025-08-11 07:58:14.276153,20250905,2025-09-05,162.5,PUT,3.65,3.75,4.0,730,0,-0.279,0.017,-0.132,0.154,-0.036,43.997
AMD,2025-08-11 07:58:14.276153,20250905,2025-09-05,165.0,PUT,4.4,4.55,4.5,1103,0,-0.323,0.018,-0.139,0.165,-0.042,43.495
AMD,2025-08-11 07:58:14.276153,20250905,2025-09-05,167.5,PUT,5.35,5.45,5.45,409,0,-0.37,0.019,-0.145,0.173,-0.048,43.205
AMD,2025-08-11 07:58:14.276153,20250905,2025-09-05,170.0,PUT,6.4,6.55,6.5,2056,0,-0.42,0.02,-0.15,0.179,-0.054,43.07
AMD,2025-08-11 07:58:14.276153,20250905,2025-09-05,172.5,PUT,7.6,7.7,7.6,1901,0,-0.47,0.02,-0.152,0.183,-0.06,42.792
AMD,2025-08-11 07:58:14.276153,20250905,2025-09-05,175.0,PUT,8.9,9.05,9.0,1717,0,-0.517,0.019,-0.161,0.183,-0.066,45.506
AMD,2025-08-11 07:58:14.276153,20250905,2025-09-05,177.5,PUT,10.35,10.5,10.95,168,0,-0.564,0.019,-0.159,0.181,-0.071,45.403
AMD,2025-08-11 07:58:14.276153,20250905,2025-09-05,180.0,PUT,11.9,12.1,12.95,214,0,-0.608,0.018,-0.155,0.176,-0.076,45.508
AMD,2025-08-11 07:58:14.276153,20250905,2025-09-05,182.5,PUT,13.65,13.8,12.5,506,0,-0.651,0.018,-0.149,0.17,-0.08,45.588
AMD,2025-08-11 07:58:14.276153,20250905,2025-09-05,185.0,PUT,15.45,15.6,15.91,916,0,-0.691,0.017,-0.142,0.162,-0.084,45.682
AMD,2025-08-11 07:58:14.276153,20250905,2025-09-05,187.5,PUT,16.95,17.75,18.75,14,0,-0.728,0.016,-0.134,0.152,-0.086,45.84
AMD,2025-08-11 07:58:14.276153,20250905,2025-09-05,190.0,PUT,19.35,19.65,20.7,25,0,-0.76,0.014,-0.125,0.142,-0.088,46.135
AMD,2025-08-11 07:58:14.276153,20250905,2025-09-05,192.5,PUT,21.15,21.65,19.25,21,0,-0.789,0.013,-0.117,0.132,-0.089,46.471
AMD,2025-08-11 07:58:14.276153,20250905,2025-09-05,195.0,PUT,23.35,23.9,36.5,4,0,-0.815,0.012,-0.108,0.121,-0.088,46.844
AMD,2025-08-11 07:58:14.276153,20250905,2025-09-05,197.5,PUT,25.8,26.3,37.0,15,0,-0.837,0.01,-0.1,0.112,-0.087,47.287
AMZN,2025-08-11 07:58:15.240455,20250815,2025-08-15,200.0,CALL,22.75,23.05,22.9,15065,0,0.983,0.004,-0.059,0.011,0.026,45.425
AMZN,2025-08-11 07:58:15.240455,20250815,2025-08-15,202.5,CALL,20.15,20.85,20.2,422,0,0.979,0.005,-0.063,0.013,0.026,41.702
AMZN,2025-08-11 07:58:15.240455,20250815,2025-08-15,205.0,CALL,17.85,18.1,17.65,4049,0,0.971,0.007,-0.076,0.017,0.026,39.027
AMZN,2025-08-11 07:58:15.240455,20250815,2025-08-15,207.5,CALL,15.35,15.75,15.5,649,0,0.962,0.009,-0.085,0.021,0.026,35.47
AMZN,2025-08-11 07:58:15.240455,20250815,2025-08-15,210.0,CALL,12.95,13.3,13.0,11022,0,0.944,0.014,-0.107,0.029,0.026,33.024
AMZN,2025-08-11 07:58:15.240455,20250815,2025-08-15,212.5,CALL,10.55,10.85,10.55,2697,0,0.912,0.02,-0.14,0.041,0.025,30.953
AMZN,2025-08-11 07:58:15.240455,20250815,2025-08-15,215.0,CALL,8.35,8.5,8.33,19677,0,0.857,0.03,-0.191,0.057,0.024,29.609
AMZN,2025-08-11 07:58:15.240455,20250815,2025-08-15,217.5,CALL,6.35,6.45,6.3,5026,0,0.772,0.041,-0.252,0.077,0.022,28.847
AMZN,2025-08-11 07:58:15.240455,20250815,2025-08-15,220.0,CALL,4.5,4.6,4.5,63151,0,0.657,0.051,-0.303,0.094,0.018,28.344
AMZN,2025-08-11 07:58:15.240455,20250815,2025-08-15,222.5,CALL,3.05,3.1,3.06,7932,0,0.522,0.056,-0.322,0.101,0.015,27.818
